objid,u,g,r,i,z,ra,dec,flags_r,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237650372088889496,18.13908,16.47667,15.60192,15.13645,14.80735,171.675502753958,-1.2914412728704,6755674587566096,32,0.061999998986721,0.811999976634979,0,0.125,0,0
1237650372088889528,18.20697,16.82569,16.10632,15.68691,15.40305,171.711032254957,-1.32188572578295,6755674587566096,31,0,0.967999994754791,0.0320000015199184,0,0,0
1237650372088954985,18.66794,17.44902,17.0598,16.76877,16.6327,171.736306706768,-1.30821696249418,4503874773880848,19,0.578999996185303,0.0529999993741512,0.158000007271767,0.104999996721745,0.104999996721745,0
1237650372089544714,17.90349,16.47825,15.70557,15.2398,14.85252,173.13210127924,-1.38138828697762,6755674587430928,32,0.0309999994933605,0.0309999994933605,0.46900001168251,0.28099998831749,0,0.187999993562698
1237650372091379883,18.77805,16.80754,15.8439,15.38503,15.00767,177.287992486575,-1.36243814501607,4503874773876752,30,0.133000001311302,0,0.767000019550323,0.100000001490116,0,0
1237650372092231739,18.18746,17.26686,16.94157,16.73248,16.58323,179.322695250371,-1.37419827260184,6755674587562000,30,0.732999980449677,0,0.0329999998211861,0.0329999998211861,0.166999995708466,0.0329999998211861
1237650372092428432,18.01927,16.51792,15.81561,15.41706,15.1294,179.674968015914,-1.31409595592959,6755674587566096,27,0.0370000004768372,0.925999999046326,0.0370000004768372,0,0,0
1237650372092493943,18.3106,16.63051,15.80214,15.38761,15.05522,179.799838354244,-1.30090183635598,6755674587430928,30,0.0329999998211861,0,0.967000007629395,0,0,0
1237650372092559369,16.80995,15.60673,15.05877,14.76354,14.52211,179.961197870311,-1.38195036798694,6755674587566096,38,0,0.0260000005364418,0.842000007629395,0.104999996721745,0,0.0260000005364418
1237650372092559369,16.80995,15.60673,15.05877,14.76354,14.52211,179.961197870311,-1.38195036798694,6755674587566096,35,0.0860000029206276,0,0.229000002145767,0.14300000667572,0.513999998569489,0.028999999165535
1237650372095115417,18.94827,17.0238,16.11285,15.61993,15.23734,185.936362954988,-1.30560365390438,4503874773745664,39,0.0769999995827675,0,0,0.846000015735626,0.0769999995827675,0
1237650372095442957,17.7599,17.34308,17.44984,17.98969,17.96556,186.555302640579,-1.30505646739029,4503874773880848,31,0.257999986410141,0.0320000015199184,0.0970000028610229,0.0649999976158142,0.323000013828278,0.225999996066093
1237650372095770797,17.75299,16.59015,16.23952,16.05696,15.93735,187.30851243793,-1.3560503922221,6755674587430928,67,0.238999992609024,0.284000009298325,0.0149999996647239,0.328000009059906,0.0599999986588955,0.0750000029802322
1237650372095770800,18.44983,17.62457,17.51904,17.53662,17.51994,187.311193265328,-1.36530838563205,4503874773745664,32,0.218999996781349,0.0939999967813492,0.0309999994933605,0.40599998831749,0.25,0
1237650372095967394,18.98149,17.6797,17.03291,16.65626,16.47849,187.879104096803,-1.36290398674832,4503874773880848,29,0.207000002264977,0,0.551999986171722,0.172000005841255,0.034000001847744,0.034000001847744
1237650372096688179,16.57365,15.54837,15.24814,15.09954,14.97962,189.451227302339,-1.34485884380787,6755674587566096,23,0.564999997615814,0.0430000014603138,0.129999995231628,0.216999992728233,0.0430000014603138,0
1237650372098654237,16.67141,15.6374,15.2192,15.00503,14.84193,193.905612837997,-1.32987859505445,6755674587566096,31,0.644999980926514,0,0.0320000015199184,0.160999998450279,0.0649999976158142,0.0970000028610229
1237650372098654295,16.89918,15.77579,15.50288,15.38492,15.24237,193.992447650246,-1.34762912948881,6755674587566096,33,0.090999998152256,0.0299999993294477,0,0.181999996304512,0.303000003099442,0.393999993801117
