objid,u,g,r,i,z,ra,dec,flags_r,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237648722819875127,17.60621,16.29618,15.60013,15.2246,14.9027,130.934936607802,1.0792069962742,6755674587430928,38,0.894999980926514,0.0260000005364418,0.0260000005364418,0.0529999993741512,0,0
1237648722819940368,17.43987,16.5975,16.1942,16.02727,15.87517,131.037347360909,1.21439285922731,4503874782134272,31,0.676999986171722,0.0970000028610229,0,0.160999998450279,0.0649999976158142,0
1237651735771545789,17.78353,16.71115,16.2274,15.97184,15.81065,213.304312899292,1.78278879683169,6755674587430928,29,0,0.034000001847744,0.966000020503998,0,0,0
1237651735774888004,16.05469,14.3701,13.60555,13.197,12.84968,220.984886501954,1.60416096956992,6755674587566096,65,0.400000005960464,0,0,0.600000023841858,0,0
1237651736300617974,18.45025,17.54052,17.28437,17.29686,17.15952,195.47225418036,2.46059917714146,4503874840854600,34,0.470999985933304,0.028999999165535,0.0590000003576279,0.175999999046326,0.264999985694885,0
1237651737394217325,18.44553,17.36367,16.92124,16.68237,16.46611,240.904581926261,2.14298056441124,4503874773745664,27,0.370000004768372,0.370000004768372,0.0370000004768372,0.148000001907349,0.0370000004768372,0.0370000004768372
1237651753456501024,18.9557,17.25258,16.26571,15.77849,15.4847,141.290788415273,1.59249790710167,6755674587430928,30,0.232999995350838,0.367000013589859,0.0329999998211861,0.367000013589859,0,0
1237651753456632042,18.35273,16.91026,16.2195,15.8424,15.55241,141.609275907634,1.59020066849625,6755674587566096,33,0.120999999344349,0.787999987602234,0,0.090999998152256,0,0
1237651753457418421,18.96902,17.77691,17.30158,17.02398,16.82332,143.389531711251,1.57172485931129,6755674587430928,57,0.104999996721745,0.0350000001490116,0,0.50900000333786,0.174999997019768,0.174999997019768
1237651753457418439,17.82649,15.82152,14.87667,14.42639,14.08091,143.414203590183,1.63001123020685,6755674587566096,56,0.428999990224838,0.0179999992251396,0,0.179000005125999,0.0179999992251396,0.35699999332428
1237651753460040064,18.81333,17.42717,16.95037,16.71761,16.58262,149.390610899012,1.65893196771946,6755674612727824,54,0.444000005722046,0.0930000022053719,0,0.351999998092651,0.111000001430511,0
1237651753465348105,16.51868,15.30608,14.79794,14.56935,14.35647,161.442372984787,1.99735021616719,6755674587430928,43,0.791000008583069,0.0230000000447035,0.0930000022053719,0.0700000002980232,0.0230000000447035,0
1237651753466658891,18.4021,17.18626,16.67764,16.38553,16.17763,164.431810561538,2.03233329093002,6755674587562000,27,0.25900000333786,0,0.407000005245209,0.296000003814697,0.0370000004768372,0
1237651753467773045,17.96415,16.09789,15.32074,14.92906,14.61848,166.941975264466,2.05892963802052,6755674587566100,31,0.12899999320507,0,0.612999975681305,0.194000005722046,0.0320000015199184,0.0320000015199184
1237651753468166283,17.87577,15.85385,14.94696,14.52161,14.18005,167.91686775665,2.10836179494906,6755674587566096,54,1,0,0,0,0,0
1237651753470001283,18.41756,17.08798,16.37727,15.87824,15.61845,172.102684626294,2.1459496696149,4503874773745664,56,0.46399998664856,0.0359999984502792,0.0890000015497208,0.303999990224838,0.0890000015497208,0.0179999992251396
1237651753470197902,18.33716,16.34427,15.4106,14.98373,14.6652,172.628195325931,2.17441485222743,6755674587566096,35,0.428999990224838,0,0,0,0,0.570999979972839
1237651753470263523,18.97903,17.56523,16.8831,16.49719,16.21683,172.775769610174,2.19032121883334,6755674587562000,51,0.118000000715256,0.0199999995529652,0.725000023841858,0.136999994516373,0,0
1237651753473015848,18.51396,16.53685,15.58426,15.11743,14.75212,179.03015477066,2.08629476524846,6755674587566096,57,0.894999980926514,0,0,0.0700000002980232,0.0179999992251396,0.0179999992251396
1237651753473212499,17.47601,16.29424,15.93235,15.74409,15.73924,179.397045209431,2.16782205722261,6755674587562000,24,0.333000004291534,0.0419999994337559,0.0419999994337559,0.583000004291534,0,0
1237651753473605780,18.39144,17.70475,17.67784,18.31012,18.25629,180.342951310614,2.18564570185983,6755674587562000,28,0.14300000667572,0,0.10700000077486,0.214000001549721,0.46399998664856,0.0710000023245811
1237651753476292784,17.83275,16.22555,15.75546,16.12231,16.21555,186.420317517492,2.15934672920886,6755674587632912,38,0.0260000005364418,0,0,0.0790000036358833,0.842000007629395,0.0529999993741512
1237651753477800070,18.70736,17.34918,16.71038,16.32976,16.06597,189.968352072311,2.12622751451759,4503874773745664,67,0.104000002145767,0.791000008583069,0.0149999996647239,0.0599999986588955,0,0.0299999993294477
1237651753479438356,15.83477,14.47187,13.89389,13.63215,13.41539,193.673300023544,2.10395791636069,6755674587566096,48,0.875,0,0.0419999994337559,0.0419999994337559,0.0419999994337559,0
1237651753480028188,17.12537,16.35544,16.15973,16.7282,16.39542,194.990334826826,2.05036786181159,4503874773880852,34,0.206000000238419,0,0,0.146999999880791,0.293999999761581,0.352999985218048
